mail runner,  தபாற்காரன், ஓட்டக்காரன், 
relay man,  ஓட்டக்காரன், 
song in the boatmans tune,  ஓடம், 
running away from fear,  ஓடல், 
being defeated,  ஓடல், 
an expression of assent,  ஓடல், 
expression of assent,  ஓடல், 
from its having a shell,  ஓடன், 
tortoise from its having a shell,  ஓடன், 
gold silver which cannot be volatilized or made to pass into vapour when heated,  ஓடாச்சரக்கு, 
a sliding pin in a metal case,  ஓடாணி, 
sliding pin in a metal case,  ஓடாணி, 
shipwright,  ஓடாவி/ கப்பல் தச்சர், 
boat builder,  ஓடாவி, 
one who writes or draws figures on the earthen pot,  ஓடாவி, 
a tract of land,  ஓடி, 
harbinger,  முன்னறிவிப்பாளர்: முன்னோடி/ கட்டியக்காரன், ஓடி, 
driven,  இயக்கப்படுதல், ஓடி, 
decortication,  தோலகற்றல்; நிலக்கடலை காய் உடைத்தல், புறணிநீக்கம், ஓடு, உமி நீக்குதல், 
tile,  குசத்தி/ குளைச்சக்கரம், ஓடு/ வில்லை, 
ply,  ஒட்டுமென்தாள், ஓடு, 
flee,  தப்பிப்போதல், ஓடிப்போ, ஓடு, பாறு, தப்பியோடு, 
esca,  ஓடு, 
run away,  ஓடு, 
run after,  ஓடு, 
run in a c,  ஓடு, 
run acros,  ஓடு, 
run across,  ஓடு, 
run one,  ஓடு, 
tile for ro,  ஓடு, 
broken pi,  சில, ஓடு, 
the case,  ஓடு, 
flee away,  ஓடு, 
pass quickly,  ஓடு, 
as a watch,  ஓடு, 
to sail,  ஓடு, 
to operate,  வியாபரி, ஓடு, 
go far,  ஓடு, 
to come off,  ஓடு, 
as a ring,  தொடு, ஓடு, 
to be endowed with,  ஓடு, 
to be dismantled,  ஓடு, 
as in the mind,  ஓடு, 
to be worth,  தாளு, ஓடு, 
to be determined,  ஓடு, 
resolved,  ஓடு, 
as of a tortoise,  ஓடு, 
hard outer covering,  ஓடு, 
as of a nut,  ஓடு, 
roofing tile,  ஓடு, 
piece of broken earthen ware,  ஓடு, 
potshered,  ஓடு, 
mendicants bowl for receiving alms,  ஓடு, 
as a potsherd,  ஓடு, 
sign off the instrumental case,  ஓடு, 
to disjoin,  ஓடு, 
to flow like water,  ஓடு, 
split up,  ஓடு, 
together-with,  ஓடு, 
sign of the instrumental case,  ஓடு, 
mendi cants bowl for receiving alms,  ஓடு, 
country tiles,  ஓடு, 
mangalore tiles,  வெள்ளையோடு, ஓடு, 
water channel,  நாலா, ஓடுகால், 
girl or wo,  திடுமலி, ஓடுகாலி, 
woman who is always running away from home,  ஓடுகாலி, 
one who is running away from home every now and then,  ஓடுகாலி, 
bustle and confusion in preparing,  ஓடுதாவடி, 
as for a journey,  ஓடுதாவடி, 
for going abroad,  ஓடுதாவடி, 
for business,  ஓடுதாவடி, 
to roam about,  துகை, ஓடுதாவடி, 
movable canopy supported on cords,  ஓடுபந்தல், 
messenger of the pallas,  ஓடும்பிள்ளை, 
messe nger of ncient times,  ஓடும்பிள்ளை, 
mangoose,  நண்டுதின்னும் கீரி, ஓடும்பிள்ளை, 
runway,  ஓடுபாதை, ஓடுவழி, ஒடுபாதை, 
ditch and furrow method,  ஓடை, உழவுசால் முறை// சால், பரம்பு உழவுமுறை, 
nallah,  ஓடை, 
quick water,  ஓடை, 
odai,  ஓடை, 
stream or,  ஓடை, 
large water course,  ஓடை, 
channel for the conveyance of water,  ஓடை, 
ditch round a fortification,  ஓடை, 
mountain path,  ஓடை, 
metal plate or badge for the forehead,  ஓடை, 
frontlet for elephants,  ஓடை, 
vessel for holding sandal,  ஓடை, 
leane,  ஓடை, 
combretum ovali folium,  ஓடை, 
battle wort,  ஓடை, 
longer internoded stout reed bamboo,  ஓடை, 
chlandia travan coriea,  ஓடை, 
silo for storing grain,  ஓடை, 
kankar,  ஓடைக்கல், பருக்கைக்கல், ஓட்டைக்கல்// சுக்கான் கல்// சுக்கான்கல்; நொறுங்கிய கல், ஓடக்கல்// சுண்ணாம்புத் துகள், 
a kind of brittle stone,  ஓடைக்கல், 
the nd naksatra being sacred to him,  ஓணப்பிரான், 
nd being sacred to him,  ஓணப்பிரான், 
bathing festival in a river,  ஓணம், 
a festival in honour of visnu,  ஓணவிழவு, 
festival in honour of,  ஓணவிழவு, 
commander of prince,  ஓணன், 
garden lizard,  ஓணான், 
a common agamoid lizard,  ஓமான், ஓணான், ஓந்தி, 
calotes veisicolor,  ஓணான், 
boat-shaped wooden trough for bailing water to or from fields,  ஓணி, 
foot-path along a small stream,  ஓணி, 
cham aeleo vulgaris,  ஓத்தி, 
blood sukar,  ஓத்தி, 
calotes versicolor,  ஓத்தி, ஓந்தி/ கரட்டோந்தி, 
paddy given annually for educational or religious teaching and learning,  ஓத்திரநெல், 
anything fit to be offered,  ஓத்திரம், 
chanting the sacred valuable scripture,  ஓத்திரம், 
enabling to recite,  ஓத்திரம், 
making one to recite,  ஓத்திரம், 
offerer of oblations in a sacrifice,  ஓத்திரி, 
one who makes others to recite,  ஓத்திரி, 
as a mantra,  ஓத்து, 
section or chapter of a book,  ஓத்து, 
classification of objects according to categories,  ஓத்து, 
place for teaching,  ஒத்தின்சாலை, 
soothsayer,  ஓத்துரைப்போர்; நிமித்தக்காரன்/ விரிச்சிகன்/ கோடங்கி, 
those who recite scripture,  ஓத்துரைப்போர், 
teacher of tamil,  ஓத்துரைப்போன், 
elephant iasis,  ஓதக்கால், 
elephantia sis,  ஓதக்கால், 
woman with elephantiasis of the leg,  ஓதக்காலி, 
as of floor,  ஓதம், 
affection of the testis,  ஓதம், 
as hydrocele,  ஓதம், 
flood tide,  ஓதம்/ வெள்ள ஓதம்/ கடற்பெருக்கு, 
rum ud,  ஓதம், 
reading loudly,  ஓதல், 
lea ming,  ஓதல், 
reci ting,  ஓதல், 
telling,  பறைவு// சங்கீர்த்தனம்// சொற்றல்// சொலவு, ஓதல், 
profession of reciting,  ஓதல், 
