முதற் பக்கம்
அம்மா
ஆலயம்
இது
ஈட்டி
உலகம்
ஊர்
எடு
ஏடு
ஐந்து
ஒளி
ஓடு
ஔடதம்
கடல்
அன்னை
அடர்த்தி
மலையாளம்
ஒலி
தாய்
அம்மான்
தம்பி
சொல்
பெ
பெயர்ச்சொல்
வி
வினைச்சொல்
வினை
வேதியியல்
பெயர்
அக்கா
அப்பா
சிற்றப்பா
பெரியப்பா
சித்தப்பா
அத்தை
மாமா
சகோதரர்
சகோதரி
அண்ணன்
தங்கை
அண்ணா
தங்கச்சி
ஐயம்
ஆங்கிலம்
விக்சனரி
ஆச்சி
ஒளித் தெறிப்பு
அமுக்கம்
ஒட்டகம்
அரசன்
கண்
அம்மம்மா
அழுக்காறு
குறுஞ்செய்தி
காதல்
வையகம்
ஞாலம்
கத்தரிக்காய்
பன்முக
பலக்கிய
முடிவிலி
கருப்பை
உணவு
பெட்டி
அகல்
தமிழ்
நனி
இடுக்கண்
கயல்
நகு
பூவை
மகளிர்
குருதி
புனல்
வைகறை
காலை
மதியம்
இரவு
மதி
கோன்
கோன்
மூப்பு
மூக்கு
குவியம்
பெரியம்மா
பெயரன்
மருமகன்
மருமகள்
அண்ணி
மகன்
மகள்
கணவன்
மனைவி
அப்பப்பா
விலங்கியல்
மருந்தியல்
நரம்பியல்
தோலியல்
தொல்லுயிராய்வியல்
உளவியல்
சமுதாயவியல்
தொல்பொருளியல்
உடற்றொழிலியல்
அண்டவியல்
தொன்மவியல்
இரட்டை எண்
இரட்டை எண்
ஒற்றை எண்
மூலக்கூறு
சேவடி
பௌவம்
உடுக்கை
விசும்பு
விசும்பு
மெய்
கதிர்
திகிரி
வளை
நரலுதல்
நுதல்
நீடு
அறி
கேண்மை
பிரிவு
பொங்கர்
வதுவை
சவடு
ஜெர்மன்
இவறன்மை
நறவு
பொதும்பர்
கைதை
புரிசை
துதை
ஏதம்
கணனம்
மீன்
தரவுமுடி
கோப்பு
வல்சி
கொடுங்காய்
போழ்
காழ்
சுரும்பு
உதாரன்
வெற்பு
நிலா
அன்னம்
விளம்பரம்
அமுதம்
மூலகாரணம்
மயில்
தாமரை
தோள்
ஈடுபாடு
நடை
வெள்ளையடித்தல்
ஈவு
குடிவரவு
குடியகல்வு
கனி
சமஷ்டி
நப்பாசை
நிரந்தரம்
கத்தி
சட்டை
பாவாடை
வேட்டி
துணி
காது
விரல்
சுத்தம்
விபத்து
சொத்து
தாத்தா
நீர்வீழ்ச்சி
குன்று
நிலம்
நாடு
மலை
அடி
மடி
கயிறு
ரத்தம்
ரத்தம்
இரத்தம்
முதற் பக்கம
எதிரி
பாட்டி
மாமனார்
மாமியார்
கொலுசு
எழுத்துரு
விழி
உரிமம்
புத்தகம்
நூல்
கால் கொலுசு
சலங்கை
புருஷன்
உடல்நலம்
கதவு
தேன்
கப்பல்
தேடு
இணையம்
அறிவியல்
தீவு
சித்திரை
வைகாசி
ஆனி
ஆடி
ஆவணி
புரட்டாசி
ஐப்பசி
கார்த்திகை
மார்கழி
மார்கழி
தை
மாசி
பங்குனி
அன்மை
ஒற்று
ஒறுத்தல்
கரத்தல்
குழவி
கூற்றம்
கூழ்
சால்பு
தண்
துலை
நிச்சம்
நோற்றல்
பகடு
பொச்சாப்பு
பொன்றுதல்
பேறு
பைங்கூழ்
விழுப்பம்
அறை
