அகலப்பா,அகலக்கவி.,6, [ akalappā ]
அகலி,அகலியை.,6, [ akali ]
அகலிடம்,பூமி.,6, [ akaliṭam ]
அகலிது,விசாலமுடையது.,6, [ akalitu ]
அகலியாசாரன்,தேவேந்திரன்.,6, [ akaliyācāraṉ ]
அகலியாநந்தனன்,சதாநந்தன்.,6, [ akaliyānantaṉaṉ ]
அகல்கை,அகலல்.,7, [ akalkai ]
அகல்வு,"அகலம், நீங்குகை.",7, [ akalvu ]
அகவ,ஒலியாநிற்க.,7, [ akava ]
அகவடி,உள்ளங்கால்.,7, [ akavaṭi ]
அகவலிசை,அகவலோசை.,7, [ akavalicai ]
அகவலுரிச்சீர்,ஈரசைச்சீர்.,7, [ akavaluriccīr ]
அகவற்சீர்,அகவலுரிச்சீர்.,7, [ akavaṟcīr ]
அகவற்சுரிதகம்,ஆசிரியச் சுரிதகம்.,7, [ akavaṟcuritakam ]
அகவுதல்,"அழைத்தல், ஆடல்.",7, [ akavutal ]
அகழி,"அகழ், கோட்டை, மதில்சூழ்கிடங்கு.",7, [ akaẕi ]
அகழெலி,அகழான்.,7, [ akaẕeli ]
அகளங்கமூர்த்தி,"கடவுள், புத்தன்.",7, [ akaḷangkamūrtti ]
அகன்றில்,ஆணன்றில்.,8, [ akaṉṟil ]
அகன்னம்,செவிடு.,8, [ akaṉṉam ]
அகாகம்,ஆசௌசதினம்.,8, [ akākam ]
அகாசரம்,அறியாமை.,8, [ akācaram ]
அகாண்டபாதம்,காலமல்லாதகாலசம்பவம்.,8, [ akāṇṭapātam ]
அகாதத்துவம்,ஆழம்.,8, [ akātattuvam ]
அகாதப்படுஞ்சமயம்,பிரமாத மாகுஞ்சமயம்.,8, [ akātappaṭuñcamayam ]
அகாதன்,வஞ்சகன்.,8, [ akātaṉ ]
அகாதிதம்,பட்சித்தல்.,8, [ akātitam ]
அகாரி,"இடி, இந்திரன், கடவுள்.",8, [ akāri ]
அகாருண்ணியம்,அன்பின்மை.,8, [ akāruṇṇiyam ]
அகாலமிருத்து,அநியாயமரணம்.,8, [ akālamiruttu ]
அகிகாந்தம்,காற்று.,8, [ akikāntam ]
அகிஞ்சகன்,ஜீவ இம்சை செய்யாதவன்.,8, [ akiñcakaṉ ]
அகிதமிட்டிரன்,ஒரு விராக்கதன்.,8, [ akitamiṭṭiraṉ ]
அகிதர்,பகைவர்.,9, [ akitar ]
அகிபுக்கு,"கருடன், கீரி, மயில்.",9, [ akipukku ]
அகிருதகம்,செய்யப்படாதது.,9, [ akirutakam ]
அகிருதித்துவம்,அந்தக்கேடு.,9, [ akirutittuvam ]
அகிர்,"அசர், தலைச்சுண்டு.",9, [ akir ]
அகிலகாரணன்,"உலோக காரணன்,பரசிவன்.",9, [ akilakāraṇaṉ ]
அகிலகாரணி,"உலகமாதா, பரசிவை.",9, [ akilakāraṇi ]
அகிலநாயகன்,"சிவன், கடவுள்.",9, [ akilanāyakaṉ ]
அகிலபோகம்,"சகலவனுபவம், உலகவாழ்வு.",9, [ akilapōkam ]
அகிலலோகம்,எல்லாவுலகம்.,9, [ akilalōkam ]
அகிலாங்கம்,சதுரவடிவம்.,9, [ akilāngkam ]
அகிலாண்டம்,"சகல அண்டம், பிருதிவிஅண்டம்.",9, [ akilāṇṭam ]
அகிலாண்டவல்லி,உமாதேவி.,9, [ akilāṇṭavalli ]
அகிவைரி,"கருடன், மயில்.",9, [ akivairi ]
அகிற்குடம்,அகிற்புகைக்கும்பம்.,9, [ akiṟkuṭam ]
அகிற்குறடு,அகிற்கட்டை.,9, [ akiṟkuṟaṭu ]
அகீசன்,"ஆதிசேடன், அகிபதி.",9, [ akīcaṉ ]
அகீனன்,பெரியோன்.,9, [ akīṉaṉ ]
அகுடம்,கடுகுரோகிணிப்பூண்டு.,9, [ akuṭam ]
அகுட்டம்,மிளகு.,9, [ akuṭṭam ]
அகுணதை,அகுணத்துவம்.,9, [ akuṇatai ]
அகுணத்துவம்,குணமின்மை.,9, [ akuṇattuvam ]
அகுதி,அகதி.,10, [ akuti ]
அகுருத்துவம்,கனமின்மை.,10, [ akuruttuvam ]
அகுலீனம்,குலவீனம்,10, [ akulīṉam ]
அகுலீனன்,இழிகுலத்தவன்.,10, [ akulīṉaṉ ]
அகுவைக்கட்டி,அரையாப்புக்கட்டி.,10, [ akuvaikkaṭṭi ]
அகூடகந்தம்,பெருங்காயம்.,10, [ akūṭakantam ]
அகூபாரம்,"ஆமை, கடல், கன்மலை.",10, [ akūpāram ]
அகையகாதுரம்,திருதசேகரம்.,10, [ akaiyakāturam ]
அகோடம்,கமுகமரம்.,10, [ akōṭam ]
அகோரதந்திரம்,உபாகமங்களில் ஒன்று.,10, [ akōratantiram ]
அக்கட,அவ்விடம்.,11, [ akkaṭa ]
அக்கண்டே,அககாளே.,11, [ akkaṇṭē ]
அக்கதயோனி,கன்னி.,11, [ akkatayōṉi ]
அக்கபாடகன்,நியாயாதிபதி.,11, [ akkapāṭakaṉ ]
அக்கப்பிரம்,மாமரம்.,11, [ akkappiram ]
அக்கமம்,பொறாமை.,11, [ akkamam ]
அக்கமாலிகாபரணன்,கபாலமூர்த்தி.,11, [ akkamālikāparaṇaṉ ]
அக்கமுன்றி,கண்.,11, [ akkamuṉṟi ]
அக்கரத்தான்,தான்றி.,11, [ akkarattāṉ ]
அக்கரப்பிரஞ்சம்,எழுத்து மாறாட்டம்.,11, [ akkarappirañcam ]
அக்கரம்மா,வெள்ளெருக்கு.,11, [ akkarammā ]
அக்கராகாரம்,ஒருபூண்டு.,11, [ akkarākāram ]
அக்கராந்தம்,எழுத்தொலி.,11, [ akkarāntam ]
அக்கருத்திரம்,உருத்திராக்ஷக்கோவை.,11, [ akkaruttiram ]
அக்கவாடம்,"சூதாடுமிடம், மற்களறி.",11, [ akkavāṭam ]
அக்களிப்பு,மனமகிழ்ச்சி.,11, [ akkaḷippu ]
அக்காதேவி,மூதேவி.,11, [ akkātēvi ]
அக்காத்தான்,தான்றிமரம்.,12, [ akkāttāṉ ]
அக்காள்,தமக்கை.,12, [ akkāḷ ]
அக்கிதாரை,கண்மணி.,12, [ akkitārai ]
அக்கிபடலம்,கண்ணோயுள் ஒன்று.,12, [ akkipaṭalam ]
அக்கியாதம்,மறைவு.,12, [ akkiyātam ]
அக்கிரகரம்,"நுனிக்கை, வலக்கை.",12, [ akkirakaram ]
அக்கிரசந்தானி,நமன்கணக்கு.,12, [ akkiracantāṉi ]
அக்கிரசர்மம்,நுனித்தோள்.,12, [ akkiracarmam ]
அக்கிரபாணி,"கைந்நுனி, வலக்கை.",12, [ akkirapāṇi ]
அக்கிரமாமிசம்,இரத்தாசயம்.,12, [ akkiramāmicam ]
அக்கிரமி,கொடியவன்.,12, [ akkirami ]
அக்கிரவருணம்,உயர்ந்தசாதி.,12, [ akkiravaruṇam ]
அக்கிராதம்,கோபமின்மை.,12, [ akkirātam ]
அக்கிராத்தம்,"கைந்நுனி, வலக்கை.",12, [ akkirāttam ]
அக்கிரு,விரல்.,13, [ akkiru ]
அக்கிரேவணம்,காட்டோரம்.,13, [ akkirēvaṇam ]
அக்கிலு,நெருஞ்சில்.,13, [ akkilu ]
அக்கிள்,கைக்குழி.,13, [ akkiḷ ]
அக்கினிகருப்பன்,குமாரக்கடவுள்.,13, [ akkiṉikaruppaṉ ]
அக்கினிகர்ப்பை,"சாமைப்பயிர், பூமி.",13, [ akkiṉikarppai ]
அக்கினிகலை,சுவாசம்.,13, [ akkiṉikalai ]
அக்கினிகேது,தூமம்.,13, [ akkiṉikētu ]
அக்கினிகோத்திரிவிபூதி,யாகத்தினாலுண்டாக்கப்பட்ட விபூதி.,13, [ akkiṉikōttirivipūti ]
அக்கினிக்கட்டு,அக்கினித்தம்பனம்.,13, [ akkiṉikkaṭṭu ]
