Rumen pharmacology,  முதலிரைப்பை - மருந்தியல், 
Ruminotomy,  முதவிரைப்பை அறுவை, 
Rummer,  பெரிய குடிநீர்க்கலம், 
Rump parliament,  எச்ச நாடாளுமன்றம், 
Ruragate,  நாடோடி, 
Runcinate,  பின்வளை அரம்பப்பல்லுடைய/ வாள்பல் வடிவ, 
Run-in,  இலக்கெடுப்பு, 
Runner bulb,  ஒடிக்குமிழ், 
Running account,  நடப்புக் கணக்கு; நடப்புக்கணக்கு, 
Runring contract,  நடப்பு ஒப்பந்தம், 
Running cost,  இயக்கச்செலவு; நடப்புச்செலவம், 
Running epilepsy,  ஓட்ட வலிப்பு, 
Rust prevention,  துருத் தடைக்காப்பு, துருத் தடுப்பு, 
Rusty black varnish,  கருஞ்சேரான், 
Rusty gold,  இரும்பு ஆக்சைடு படிவு தங்கம்; நாட்டுப் பொன், 
Ruthenium,  உருத்தீனியம், 
Ruthenium chloride,  உருத்தீனியப் பாசிகம், 
Ruthenium halide,  உருத்தீனிய உப்பதை, 
Rutherium red,  உருத்தீனியச் செம்பொடி, 
Rutherfordium,  உருத்தர் பொறுதியம், 
Rymer,  கழி அணை மதகுக் கம்பம், 
Ryotwari area,  நேர்க்குடிவாரப் பரப்பாரம், 
Ryotwari holder,  நேர்க்குடிவார நிலவுடைமையாளர், 
Ryotwari system,  குடிவார முறை; நேர்க்குடிவார முறை;- இரயத்வரி முறை, 
Rural reconstruction,  ஊரக மீட்டுருவாக்கம், ஊரக மறுசீரமைப்பு, ஊரக மறுச்சீரமைப்பு, ஊரகச் சீரமைப்பு, 
Rural scheme of education,  நாட்டுப்புறச் கல்வித் திட்டப்பாடு, 
Rural social problems,  ஊரகக் குமுகச் சிக்கல்கள், 
Rural sociology,  ஊரகச் சமூகவியல், ஊரகக் குமுகவியல், ஊரக சமூகவியல், 
Rural training centre,  ஊரசுப் பயிற்சி நடுவம், 
Rural tribalism,  ஊரகப் பழங்குடித்தன்மை, 
Rural urban fringe,  நாட்டு நகர்ப்புற இடைநிலம், 
Rural water-supply scheme,  ஊரகக் குடிநீர்வழங்கு திட்டப்பாடு, ஊரக குடிநீர் வழங்குத் திட்டம், 
Rushes,  நாணற்புதர், பாய்தல், 
Rush ring,  நாணல் மோதிரம், 
Russelli,  கண்ணாடி-வரியன், 
Russel's viper,  வெள்ளைக் கட்டன், 
Saccadic,  வெட்டியிழுக்கின்ற/ வெட்டியிழுப்புடைய, 
Saccadic eye movement,  வெட்டியிழுப்புக் கண்ணியக்கம், 
Saccate,  பைவடிவ, பையுருவுடைய, பை வடிவமைப்பு// சாக்குவடிவ, பைக்குள் அடங்கியுள்ள, 
Saccharate,  சக்கரிப்புளிமவுப்பு/ வெல்லக்காடிக் காரச்சத்து, 
Saccharifaction,  சக்கரையேற்றுதல், 
Sacchariferous,  சக்கரையீனுகின்ற// சக்கரையடங்கியுள்ள, 
Saccharimeter,  சர்க்கரை அளவி// சர்க்கரைமானி// சக்கரைமானி, 
Saccharin,  சாக்ரின் // சாக்கரின்// செயற்கை இனிப்புப் பொருள்// சக்கரையினி// செயற்கைச் சர்க்கரை, 
Saccharine,  சக்கரையினி, 
Saccharoglactorrhea,  மிகைச்சக்கரைப்பால் சுரப்பு, 
Saccharose,  சக்கரை/ கரும்பு வெல்லம், 
Sabbat,  : மந்தணப் பேய்வழிபாட்டகம், 
Sabbatarian,  ஞாயிறு - கொண்டாடி, 
Sabbatarianism,  கிழமை ஓய்வுநாட் கோட்பாடு, 
Saber,  குறுவளைவுப்பக்கக் கூர்வாள், 
Saber-saw,  மின் கூர்வாள், 
Sable brush,  பழுப்புமயிர்த் தூரிகை// சைபீரிய கீரிமுடி தூரிகை, 
Sabre jet,  வாளூர்தி, 
Sabre-cut,  கொடுவாள் வெட்டு, 
Sacretomy,  மூவகவென்பு நீக்கறுவை, 
Sacrificial anode,  ஈகநேர்மின்வாய், தன்னிழப்பு நேர்முனை, 
Sacrificial metal,  ஈகநேர்மின்வாய் மாழை/ காப்பு உலோகம், தன்னிழப்பு உலோகம், 
Sacrificial religion,  வேள்விச் சமயம், 
Sacrificialrite,  வேள்விச்சடங்கு, 
Sacrilege,  புனிதத்தன்மையை மதியாது செய்யும் அடாச்செயல், திருவழிப்பு, தெய்வக் கேடு, 
Sacrilegiousness,  திருவழிப்புக் குற்றமுடைமை, 
Sacristan,  திருப்பொருட்காப்பாளர், 
Sacrocephalous missionis,  ஆற்றுவஞ்சி, 
Sacrococcygeal,  மூவகவென்பு-வாலென்பு சார்ந்த, 
Sacroiliac,  மூவகவென்பு- கடைச் சிறுகுடல் சார்ந்த, 
Sacrolumbar,  மூவகவென்பு-மருங்குகள் சார்ந்த, 
Sacrosanct,  திருநெறிக்காப்புடைய, தெய்வநெறிவழி மீறொணாமைவாய்ந்த;- இறைக்காப்புடைய, 
Sacrosciatic,  இடுப்பின் முக்கோண மூட்டெலும்புசார்: மூவகவென்பு-இடுப்பென்புக் கீழகஞ்சார்ந்த, 
Sacrospinal,  மூவர்வென்பு முதுகந்தண்டு சார்ந்த, 
Sacrouterine,  மூவகவென்பு - கருப்பை சார்ந்த, 
Sacrovertebral,  மூவகவென்பு - முதுகென்பு சார்ந்த, 
Sad,  வருந்தத்தக்க, துயரார்ந்த/ வருத்தமான, 
Saddle back,  சேடில் பேக் // சேணமுதுகு// சேணமுகட்டுக் குன்று, 
Saddle-bags,  சேணப் பொதிமூடைகள், 
Sadaqat,  கடப்பாட்டறம், 
Saddle bar,  ஆடுநிலைப் பாரை, 
Saddle fold,  சேண மடிப்பு/ குவடு மடிப்பு// சேணவடிவ மடிப்பு, 
Saddle-girth,  குதிரை விலாவார், 
Saddie joint,  சேணமூட்டு, 
Saddle-nose,  வக்கை மூக்கு, 
Saddle-pin,  இருக்கை -முளை, பொருத்து முளை, 
Sacciform,  வன்பக்கன்னவுருவுடைய, பையறை வடிவுடைய, 
Sacciolepis indica,  கருந்தினை, 
Saccopetalum tomentosum,  பெரியவாய், 
Saccular form,  பையறை வடிவம், 
Sacculated,  நுண்பைகளைக் கொண்டுள்ள, 
Sacculation,  பக்கு, பைச்சுருக்கம்; நுண்பை; நுண்பையாக்கம்; நுண்பைக்கோள் தன்மை, பக்காக்கம், 
Sacculocochlear,  நுண்பை - செவிப்புரிவளை சார்ந்த, 
Sacculus,  செவி நுண்பை; நுண்பை// செவிநுண்பை, 
Sacculus diverticulum,  நுண்பைப் பக்கநீட்சி, 
Sacculus rotundus,  வட்ட நுண்பை, 
Sacculus vasculosus,  குழாய் துண்பை, 
Saccus endolymphaticus,  அகநிணநீர் நுண்பை, 
Sacerdocy,  சமயக்குருமாராட்சி, 
Sachet,  நறுமணப் பொக்கணம்// சிறுபக்கு// சிறு பொட்டலம்// சிறு பை, பொட்டலம், 
Sackless,  மனத்திடனற்ற, ஆற்றற்குறைவுள்ள, 
Sack-race,  சணற்பை ஓட்டப்பந்தயம், 
Sacrad,  மூவகத்தை நோக்கி: மூவகவெலும்பை நோக்கி, 
Sacral nerve,  புனித எலும்புசார் நரம்பு: மூவகவென்புப் பரப்பு - நரம்பு, 
Sacral plexus,  மூவகவெலும்புப்பின்னல், 
Sacral ribs,  மூவக மருங்கெலும்புகள், 
Sacral segments of spinal cord,  மூவகவென்புப்பாகங்கள், 
Sacral vertebrae,  இடுப்பு முக்கோணஎலும்பு, திரிக எலும்புகள்: மூவக முள்ளெலும்புகள், 
Safe load indicator,  காப்புச் சுமை சுட்டி, 
afemargin,  காப்பு வரந்தை, 
Safe sex,  ஏமப் புணர்ச்சி, 
Safety board,  சேமப்பலகை, 
Safety bolt,  காப்பு மரையாணி// சேமமரையாணி, 
Safe period,  கருவுறா ஏமக்காலம்/ காப்பான காலகட்டம், 
Safety button,  கதிர்வீச்சு எச்சரிப்புக் குமிழி, ஏமப்பொத்தான் அணுக்கரு, 
Safety cage,  ஏமக்கூடு ஏமக்கூண்டு// சாய்வுக் கூண்டு, 
Safetycatch,  ஏமப்பிடிப்பு, 
Safety chain,  காப்புச் சங்கிலி// சேமத்தொடரி, 
Safety chuck,  காப்புச் சுழல்கவ்வி, ஏமப்பற்றி, ஏமத்துரப்பணம் பற்றி, 
Safety curtain,  ஏமத்திரை, 
Safety engineer,  சேமப்பொறிஞர், 
Safety explosive,  சேமவெடிப்பான், பாதுகாப்பான வெடிபொருள், 
Safety film,  ஏம நுண்படம், தீ காப்புப் படலம், ஏமப்படம், 
Safety flange,  ஏம அடைவட்டை/ காப்பு விளிம்புப்பட்டை, 
Safety gap,  ஏம-இடைவெளி, 
Safety gate,  ஏமப்படலை, தானியங்கு காப்பு வாயில், 
Safety glass,  காப்பாடி/ காப்புக் கண்ணாடி/ காப்புக்கண்ணாடி, 
Safety hoist,  சேமவுயர்த்தி, பாதுகாப்பு ஏற்றி, 
Safety hook,  காப்புக் கொக்கி// சேமக்கொச்சி, 
Safety laddle,  காப்பு - அகப்பை, 
Safety level of supply,  வழங்கீட்டுக் காப்பு மட்டம், 
Safety lever,  சேமநெம்பு, 
Safety man,  காவன்மான், 
Safety matches,  சேமத்தீக்குச்சிகள், 
Safety measure,  காப்புச் செயல்பாடு/ காப்பு நடவடிக்கை, பாதுகாப்பு நடவடிக்கை, 
Safety post,  காப்புக்கம்பம்/ காப்புத்தூண், 
Safety precaution,  காப்பு முன்னெச்சரிக்கை நிலை/ காப்பு முன்னெச்சரிக்கை, 
Safety officer,  காப்பு அலுவலர், 
Safety plug,  சேமச்செருகி/ காப்புச் செருகு, 
Saddle point,  சேணப்புள்ளி// சேணப் புள்ளி// சேண மூட்டு;- இருக்கைப்புள்ளி, 
Saddle point theory,  சேணப்புள்ளிக் கோட்பாடு;- இருக்கைப் புள்ளிக்கொள்கை, 
Saddle reef,  சேணவடிவ மிகைப்படிவு// சேணக்கனிம நாளி, 
Saddle roof,  மேட்டுக்கூரை, 
Saddle shell roof,  மேட்டுச்சிப்பிக் கூரை, 
Saddle stone,  சேணக்கல், 
S.a.e., அ மு மூ, 
Saeter,  புற்சுவல் வெளி, 
Safe bearing capacity,  பாதுகாப்புத் திறன்/ காப்பான தாங்குத்திறன்/ காப்புத் தாங்குதிறன், தாங்குதிறன்/ காப்புநிலை தாங்குதிறன், 
Safe-breaker,  சட்ட முரண் - காப்புடைப்பாளி, 
Safe-breaking,  சட்ட முரண் - காப்புடைப்பு, 
Safe burst height,  காப்பு வெடிப்பு உயரம், 
Safe circuit,  காப்புச்சுற்று, 
Safe conduct,  ஏம நடக்கை உரிமம் வழிகாப்பு/ காப்பு;- இடரில்லா கடத்தி, 
Safecurent,  காப்புமின்னோட்டம், 
Safe deposit,  காப்பு - வைப்பு/ காப்பு வைப்பகம்// சேம வைப்பு, 
Safe deposit articles,  காப்பு - வைப்புப்பொருள்கள்// சேம வைப்புப் பொருள்கள், 
Safe ear,  தீங்கற்ற செவி, ஏமச்செவி, 
Safeguarding duties,  இடர்காப்புத் தீர்வைகள், 
Safeguard system,  இடர்காப்பு அமைப்பு, 
Safe light,  காப்புவிளக்கு, 
Safe limit,  காப்புவரம்பு, 
Safe edge file,  காப்புவிளிம்பரம்/ காப்பு விளிம்பு அரம், 
Sagittocyst,  அம்புக் குடம்பு, 
Sagpipe,  தொய்குழாய், 
Sahel,  சேகல் வறட்சிப் பகுதி/ வன்தூசுப் பாலைக்காற்று, 
Sail-axle,  காற்றாடி எந்திர தடைச்சு, 
Sail cloth,  பாய்மரத் துணி// சீலைப்பாய், 
Sailer,  பாய்மரக் கப்பல், பாய்மரக்கலம், பாய்ப்படகு, 
Sailing chart,  கப்பற்பயண வரைபடம்/ கடற்செலவு வரையம், 
Sailor's kriot,  நீகான் முடிச்சு, 
Saissetianigra,  கருப்புச் செதில் பூச்சி, 
Salaam,  அமைவு வணக்கம், 
Salability,  விலைப்பாட்டுத் திறம்/ விற்றுப்போகும் தன்மை, உருவி வருதிறம்/ விலைப்பாட்டுத்திறம், 
Salable,  விற்பனைக்கேற்ற/ விற்பனைக்குகந்த, 
Salacia chinensis,  கருக்குவை, 
Salacia oblonga,  சுண்டன், 
Salacious,  காமவெறியுடைய, 
Salacity,  காமவெறி, 
Salami,  கொத்துக்கறிப்பண்டம், பூண்டூண், 
Salary payment register,  ஊதியம் வழங்கற் பதிவேடு, 
Salary structure,  உழைப்பூதிய அமைப்பு, ஊதியக் கட்டமைப்பு, 
Safety rod,  காப்புத் தண்டு/ காப்புக் கோல்/ காப்புக்கோல், 
Safety service,  காப்புச் சேவை// சேமப்பணி, 
Safety stop,  காத்து நிறுத்தி, 
Safety valve,  ஏம அதரி/ காப்பு ஓரதர்/ காப்புக் கட்டுப்பாட்டிதழ், பாதுகாப்பு ஓரதர், 
Safe yield,  காப்பு விளைச்சல், பாதுகாப்பான விளைச்சல், அளபிறவா விளைவு, 
Sag bar,  தொய்வுத் தண்டு, 
Sagenitic,  ஊசியுருக் கனிமங்களை உள்ளடக்கியிருக்கின்ற, ஊசிவடிவக் கனிம, ஊசிவடிவ கனிம, 
Saggar clay,  கவக்களி// சூளைக் களிமண், 
Sagittal,  நீள்வெட்டுத்தளம், அம்புருவுடைய - அம்பன்னவுருவுடைய; நிணவெட்டு/ வகிட்டு, 
Sagittal axis,  அம்பு அச்சு, 
Sagittal curve,  அம்புரு வளைகோடு, அம்புரு வளைவரை, 
Sagittal suture,  நீள்வகிடு பொருத்துவாய்/ வகிட்டுப்பொருத்து, 
Sagittarian,  சிலையோரை பிறப்பன், 
Sagittarius star cloud,  அம்புடு முகில்/ வில் விண்மீன்குழாம் முகில், 
Salinastone,  உவர்க்கனிமப் படிவுப்பாறை, உப்புப்பாறை, 
Saline-alkali soil,  உவர்-களர் மண், 
Saline-water reclamation,  உவர்நீர் நன்னிலை மீட்பு, 
Salinity-temperature depth recorder,  உவர்மை - வெதணம் - ஆழம் பதிகருவி, 
Salivant,  உமிழ்நீர்ச் சுரப்பு ஊக்குகின்ற, உமிழ்நீர்ச் சுரப்பூக்கி, 
Salivary,  உமிழ்நீர்ச் சுரப்புக்குரிய, உமிழ்நீர்க்குரிய, உமிழ்நீர்ச்சுரப்பிப் புரை, 
Salivary calculus,  எச்சிற்கல், உமிழ்நீர்ச்சுரப்பிக் கற்கள், உமிழ்நீர்க் கல், 
Salivary channel,  உமிழ்நீர்க் கால்வாய், 
Salivary colic,  உமிழ்நீர்ச்சுரப்பி - வலி, 
Salivary duct,  உமிழ்நீர்க் கான், உமிழ்நீர் நாளம், 
Salivary fistula,  உமிழ்நீர்ப் புரையப்புண், உமிழ்நீர்ச்சுரப்பிப் புரை, 
Salivary gland chromosomes,  உமிழ்நீர்ச்சுரப்பிக் குருமவுடலிகள், 
Salivation ptyalism,  சொள்ளு ஒழுகல், 
Salivator,  உமிழ்நீர்ச்சுரப்பு - தூண்டி, 
Salle,  கூடம், 
Salle-d'attente,  ஊர்திநிலையத் தங்கலிடம், 
Sally-hole,  மணிக்கயிற்றுப்புழை, 
Sale account,  விற்பனைக்கணக்கு/ விற்பனைக் கணக்கு, 
Sale adjournment notice,  விற்பனை ஒத்திவைப்பு அறிவிப்பு, 
Sale certificate,  விற்பனைச்சான்றிதழ், 
Sale curve,  விற்பனை வளைவரை/ விற்பனைக்கோடு, 
Sale officer,  விற்பனை - அலுவலர், 
Sale of goods,  பொருட்களை விற்றல்// சரக்கு விற்பனை// சரக்கு-விற்பனை, 
Sale proclamation,  விற்பனைச் சாற்றாணை, 
Sale-ring,  கால்நடை வெளிச்சந்தை, 
Sale-room,  விற்பகம், பெருவிலை- அறை, 
Sales budget,  விற்பனைப்பாதீடு, 
Sales-clerk,  விற்பகவெழுத்தர்/ விற்பனையெழுத்தர், 
Sales commission,  விற்பனைத்தரகு/ விற்பனைத் தரகு, 
Sales counter,  விற்பனையிடம், 
Sales engineer,  விற்பனைப்பொறிஞர், 
Sales forecast,  விற்பனை - எதிர்நோக்கு விற்பனை முன்னோக்கு/ விற்பனை முன்கணிப்பு, 
Sales ledger,  விற்பனைப்பேரேடு/ விற்பனைப் பேரேடு, 
Sales management,  விற்பனை-மேலாண்மை, 
Sales promotion,  விற்பனைப்பெருக்கம்/ விற்பனை மேம்பாடு/ விற்பனைப் பெருக்கல்/ விற்பனை வளர்ச்சி அதிகரிப்பு, 
Sales resistance,  வாங்க விருப்பமின்மை, 
Sales return,  விற்பனைத் திருப்பம், 
Sales section,  விற்பனைப் பிரிவு, 
Sales value,  விற்பனை மதிப்பு, 
Salience,  துருத்தி நிற்கை, புறமுனைப்பு, பிரச்சினை அழுத்தம், 
Salient angle,  புறமுனைப்புக் கோணம், 
Salientia,  தவளையினம், 
Salient point,  புறமுனைப்புப் புள்ளி, 
Salient pole,  துருத்து துருவம், புறமுனைப்பு முனை, 
Salient pole field winding,  துருத்து துருவ புலச்சுருணை, புறமுனைப்பு முனைப் புலச்சுருணை, 
Saliferous,  உப்பார்ந்த, உப்பு உருவாக்குகின்ற, 
Saliferous stratum,  உப்படுக்குப் படுகை, 
