worship with sacred fire on an altar,  யாகம், 
drawn by its commentator,  யூகை, 
erudite person,  யூகை, 
elephant which has strayed away from its herd,  யூதப்பிரட்டன், 
chief elephant,  யூதபம், 
leader of a herd of elephants,  யூதபம், 
battalion,  யூதம், படைப் பிரிவு, பட்டாளம், அணிப்படை கணகம், படைப்பிரிவு, 
battalion troop,  யூதம், 
judaism,  யூதவியம், யூதமதம், 
the jews,  யூதர், 
post or stake to which the sacrificial animal is fastened,  யூபத்தம்பம், 
battlearray,  யூபம், 
allowance or pension,  யூமியா, 
calculated originally by the day,  யூமியா, 
to lend money to a person without security depending on his honesty,  யோக்கியத்துக்குக் கொடுத்தல், 
to risk ones money in trade,  யோக்கியத்துக்குக் கொடுத்தல், 
consideration of appropriateness or fitness regard of qualification or merits,  யோக்கியதாபட்சம், 
diploma of educational attainments,  யோக்கியதாபத்திரம், 
certificate of good character,  யோக்கியதாபத்திரம், 
person worthy to receive gifts,  யோக்கியபாத்திரம், 
person of respectability,  யோக்கியபாத்திரம், யோக்கியவான், 
worthy conduct,  யோக்கியம், 
person of respect ability,  யோக்கியவான், 
honourable man,  யோக்கியன், 
serviceable,  யோக்கியன்/ வழங்கத்தக்க, பயனுடைய, பணியாற்றத் தக்க, பயன்படத்தக்க, 
seat or place suited to ones dignity,  யோக்கியாசனம், 
seat of place suited to ones dignity,  யோக்கியாசனம், 
equation table of the suns true motion for every day in the year,  யோக்கியாதி, 
worthiness and unworthiness,  யோக்கியாயோக்கியம், 
sitting cross legged on the hams and binding the folded legs with the body by means of a strap,  யோகக்கட்டு, 
setting cross-legged on the hams and binding the folded legs with the body by means of a strap,  யோகக்கட்டு, 
yogic perception of the soul,  யோகக்காட்சி, யோகப்பிரத்தியட்சம், 
transcending the limitations of time and place,  யோகக்காட்சி, 
transcending the limitation of time and place,  யோகக்காட்சி, 
an upnisad one of,  யோகக்குண்டலினி, 
a yogic contemplation in which the soul be comes detached from the body and the mind,  யோகசமாதி, 
a yogic cotemplation in which the soul becomes detached from the body and mind,  யோகசமாதி, 
yoga philosophy,  யோகநூல், யோகசாத்திரம், 
the practice of yoga,  யோகசாதனம், யோகசாதனை, 
buddhist school which maintain that the intelligence or alone eternally exists,  யோகசாரணம், 
follower of the school of buddhism,  யோகசாரன், 
one of the best siddharas,  யோகசித்தன், 
power attained by the practice of yoga,  யோகசித்தி, 
ower attained by the practice of yoga,  யோகசித்தி, 
state of health,  யோகாதிசயம், யோகசேமம்; நல நிலை, 
secure possession of what has been acquired,  யோகசேமம், 
and increasing prosperity,  யோகசேமம், 
staff of a yogi,  யோகதண்டம், 
a mode of initiation in which the teacher,  யோகதீக்கை, யோகதீட்சை, 
by yogic power enters the body of his disciple,  யோகதீக்கை, 
takes hold of his soul and joins it to the feet of siva,  யோகதீக்கை, யோகதீட்சை, 
by yogic power,  யோகதீட்சை, 
enters the body of his disciple,  யோகதீட்சை, 
a mode of initiationin which the teacher teaches his disciple how to practise niratara ykam,  யோகதீட்சை, 
purification by contemplation,  யோகநானம், 
absorbed yogic contemplation,  யோகநிலை, யோகநிட்டை, 
a state of meditation which admits of the full exercise of ones mental powers,  யோகநித்திரை, 
the body remaining inactive as in sleep,  யோகநித்திரை, 
the state of abstract meditation according to yoga philosophy,  யோகநிலை, 
one of kali,  யோகநூல், 
strap used by a yogi sitting on his hams,  யோகப்பட்டம், 
to bind his folded legs with the body,  யோகப்பட்டம், 
strap used by a jogi sitting on his hams,  யோகப்பட்டம், 
transcending the limitation of time and peace,  யோகப்பிரத்தியட்சம், 
derivative word,  யோகபதம், 
one who has completely given himself up to yogic practices,  யோகபரன், 
practice of yoga,  யோகபரீட்சை, யோகாப்பியாசம், 
path of yoga,  யோகபாதம், 
second of the four parts of each civakamam,  யோகபாதம், 
as dealing with yoga practices,  யோகம், யோகபாதம், 
the section of pacarattirakamam dealing with yoga,  யோகபாதம், 
second of the four parts of each sivagamam,  யோகபாதம், 
a dealing with yoga practices,  யோகபாதம், 
the section of dealing with yoga,  யோகபாதம், 
seat or posture peculiarly suitable to a yogi,  யோகபீடம், 
seat on posture peculiarly suitable to a yogi,  யோகபீடம், 
lucky conjunction,  யோகம், 
etymological connection of a word,  யோகம், 
derivative name,  யோகம், 
aphorism,  யோகம்: முதுமொழி, உள்ளொளியுரை/ வாக்கியம்; நூற்பா முதுமொழி: மணிமொழி/ வசனம், 
as on horse,  யோகம், 
deep and abstract meditation,  யோகம், யோகு, 
concentration of the mind in the contemplation of the supreme spirit,  யோகம், யோகு, 
path of yoga which consists in the mental worship of siva in his subtler form,  யோகம், 
consisting of eight elements,  யோகம், 
iyamam,  யோகம், 
niyamam,  யோகம், 
piranayamam,  யோகம், 
pirattiyakaram,  யோகம், 
taranai,  யோகம், 
camati,  யோகம், 
