worship with sacred fire on an altar,  யாகம், 
keen sensibility,  ரோசம், 
high sense of honour,  ரோசம், 
a daily allowance granted to brahmins,  ரோசனா, 
fakirs and poor persons,  ரோசனா, 
patrol by,  ரோந்து, 
night patrol,  ரோந்து, லோந்து;- இரவுச் சுற்றுக்காவல், 
main hatchway,  ரோம்புவாசல், 
main hatch way,  ரோம்புவாசல், 
rome,  ரோமாபுரி, உரோம் உடன்படிக்கை, 
roman catholic,  ரோமான்கத்தோலிக்கன், 
embodiment of ferocity,  ரெளத்திராகாரம், 
hour fixed for auspicious ceremonies,  லக்கினம், 
firetongs,  லக்குறடு, 
pincers for handling heated articles,  லக்குறடு, 
owner of an adjoining land,  லக்திதாரன், 
entrancin,  லகரி, 
great wave,  லகரி, 
to prosper in an eminent degree,  லகாய், 
to deal severely,  லகாய், 
a term denoting a lakh,  லகாரம், 
the supernatural power of levitation,  லகிமா, 
a beat with the palm facing downwards followed by counting of the fingers,  லகு, 
by some means or other,  லகுவுபிகுவாய், 
in any way possible,  லகுவுபிகுவாய், 
that which is besmeared with lac,  லகோடா, 
envelope of paper,  லகோடா, 
as sealed or wafered,  லகோடா, 
small particles of cooked rice for gumming envelopes,  லகோடாப்பற்று, 
lit small particles of cooked rice for gumming envelopes,  லகோடாப்பற்று, 
as of the sea,  லங்கனம், 
violation of prescribed rules,  லங்கனம், 
looseness of tooth of a horse,  லங்குனி, 
a kind of medicinal pill,  லங்கேச்சுரம், 
a kind of medicinal preparation,  லங்கேச்சுரரசம், 
loincloth attached with strings,  லங்கோடு, 
strip of cloth fitted to the loins,  லங்கோடு, 
strip of cloth fitted to the loin,  லங்கோடு, 
customary presents made to relations or friends on auspicious occasions,  லச்சாதத்தம், 
scavenger woman,  லச்சி, 
tent-pitcher,  லசுகர், 
prismatic glass pendants of a chandelier,  லசுதர், 
a property of rubies,  லசுனி, 
meal taken in the middle of the day,  லஞ்ச், 
whoreson,  லஞ்சாக்கொடுக்கு, பரத்தைமகன், 
one who habitually receives bribes,  லஞ்சாகோர், 
loose woman,  லஞ்சாகோர், 
word in its secondary signification,  லட்சகம், 
proper qu,  லட்சணம், 
festival of illuminating a temple,  லட்சதீபம், 
by burning,  லட்சதீபம், 
lights,  லட்சதீபம், 
in India lakh,  லட்சம், 
a person owning property worth a lakh of rupees and more,  லட்சாதிபதி, 
importanc,  லட்சியம், 
the name of the goddess of wealth,  லட்சுமி, 
as due to the grace of laksmi,  லட்சுமிகடாட்சம், 
narasimha in his pose of embracing laksmi,  லட்சுமி நரசிம்மன், 
the fifth titi of the bright fortnight in the lunar month of caittiram,  லட்சுமிபஞ்சமி, 
as sacred to,  லட்சுமிபஞ்சமி/ வசந்தபஞ்சமி, 
a ball sha,  லட்டு, 
ball shaped sweet meat,  லட்டு, 
abusive quarrel,  லடாய், 
skein of lace,  லடி, 
nearly yards,  லடி, 
fairlead,  லடு/ வடம்செல் வழி/ வடம்செலுத்து கப்பித்தொகுதி, 
thimble or cringle to guide a rope,  லடு, 
a class of mendicants,  லண்டன், 
stubborn man,  லண்டன், 
man of loose conduct,  லண்டன், 
london,  லண்டன், 
intractable woman,  லண்டி, 
woman of loose conduct,  லண்டி, 
stubborn intractable woman,  லண்டி, 
dung of horses,  லத்தி, 
asses,  லத்தி, 
camels,  லத்தி, 
evil effect due to the conjunction of a malefic planet and the moon in particular naksatras,  லத்தை, 
evil effect due to the conjunction of a malefic planet and the moon in particular,  லத்தை, 
latin,  லத்தீன், 
creeper bower,  லதாக்கிருகம், 
woman of slender,  லதாங்கி, 
creeper like form,  லதாங்கி, 
woman of siender,  லதாங்கி, 
lickened to a creeper clinging round a tree,  லதாவேட்டிதம், 
staff cane,  லதி, 
the fourth section of,  லப்தகானி, 
treating of the loss of what was gained,  லப்தகானி, 
putty knife,  லப்பக்கத்தி: மக்கு பயன்பாட்டு கத்தி: மக்குக்கத்தி, 
putty-knife,  லப்பக்கத்தி, 
back putty,  லப்பம், அடைப்புக்களிமம், 
a kind of cement used to fill up cracks in wood,  லப்பம், 
a class of tamilspeaking muhammadans found chiefly on the coasts of south india,  லப்பை, 
a class of tamil speaking muhammadans found chiefly on the coasts of south india,  லப்பை, 
gulping,  விழுங்குதல், லபக்கெனல், 
expression of beating the open mouth with the palm of the handon account of sorrow,  லபோலபோவெனல், 
the spring festival in honour of kama,  லபோலபோபண்டிகை, 
as the occasion in which the beating of the open mouth with the palm is a marked feature,  லபோலபோபண்டிகை, 
the spring festival in honour of,  லபோலபோபண்டிகை, 
a breed of cattle,  லம்பாடி, 
to be unsteady to shake,  லம்பு, 
rhythm in,  லயம், 
the quarters of estate workers,  லயம், 
entire absence,  லயம், 
stage of involution of the universe,  லயாவத்தை, 
stage of absorption of the universe by the supreme being,  லயாவத்தை, 
stage of involuion of the universe,  லயாவத்தை, 
hand writing of fate,  லலாடலிபி, 
the thousand holy names of the goddess,  லலிதாசகசுரநாமம், 
a galloping sound,  லவக்குலவக்கெனல், 
gobbing in eating,  லவக்குலவக்கெனல், 
hair of cows tail,  லவம், 
a variety of kalam,  லவம், 
smallest degree,  லவலேசம், 
childrens game of ball,  லவாலவா, 
accompanied by singing lava lava,  லவாலவா, 
accompanied by singing,  லவாலவா, 
rough plastering with chunam,  லவுக்கார், 
put into a prison,  லாக்அப், 
to be in great straits,  லாக்குப் போடுதல், 
to be hard put to it,  லாக்குப் போடுதல், 
a class of goddesses mentioned in tantric lore,  லாகினி, 
a class of goddesses mentioned in lore,  லாகினி, 
yard arm,  லாசுபறுவான், 
horse shoe u,  லாடம், 
puzzle chain,  லாடர்சங்கிலி, 
musa paradisiaca troglodytarum,  லாடன், 
a kind of cotton plant with green seeds,  லாடன், 
trouble scrape,  லாடுலகாடு, 
laundry,  சலவையகம், லாண்டரி/ வெளுப்பகம், 
beat heavily,  லாத்து, 
to seize and jerk to and fro,  லாத்து, 
to tumble,  லாத்து, 
to be shaky in gait,  லாத்து, 
lantern,  கூண்டு விளக்கு, லாந்தர்/ கண்ணாடிக் கூண்டு விளக்கு/ கைவிளக்கு, 
walk abou,  லாந்து, 
to pounce and get hold of,  லாந்து, 
spreading out,  லாந்து, 
pounce,  லாந்து: மை உறிஞ்சுத் தூள், திடீர்ப்பாய்ச்சல்: மை உறிஞ்சுத்தூள், எந்திரத் தறி, 
setting bricks on edge,  லாந்து, 
to put up a terrace,  லாந்து, 
peunce,  லாந்து, 
bene,  லாபம், 
being fit,  லாயக்கு, 
suitbleness,  லாயக்கு, 
fondling curessing,  லாலனை, 
a caste of hindu merchants who migrated into the tamil country northern india,  லாலா, 
a caste of hindu merchants who migrated into the tamil country from northern india,  லாலா, 
cf lalika song consisting of eulogies,  லாலி, 
sung at weddings and other auspicious occasions,  லாலி, 
every line ending in lali,  லாலி, 
song consisting of eulogies,  லாலி, 
every line,  லாலி, 
a performance in which songs are sung debating an issue usually on a mythological subject,  லாவணி, 
a maharatta melody,  லாவணி, 
a maharatta melody mhr,  லாவணி, 
symbol of Siva in stone or other material,  லிங்கம், 
a commentary on amaraksa by ligabhatta,  லிங்காபட்டியம், 
a commentary on by,  லிங்காபட்டியம், 
one who wears a miniature ligam suspended from the neck,  லிங்காயத்து, 
one who wears a miniature lingam suspended from the neck,  லிங்காயத்து, 
a in illustration of re peatedly addressing oneself to one aspect of a matter,  லிடாலிடநியாயம், 
as licking what is already licked,  லிடாலிடநியாயம், 
scri,  லிபி, 
letter of alphabet,  லிபி, 
charming or beautiful woman,  லீலாவதி, 
a mathematical treatise by,  லீலாவதி, 
the material worlds,  லீலாவிபூதி, 
as exhibiting the divine sportiveness in their creation,  லீலாவிபூதி, 
preservation and destruction,  லீலாவிபூதி, 
a morous sport,  லீலை, 
kambayam,  லுங்கி, 
a coloured cloth worn by muhammadans,  லுங்கி, 
that which is vulgar or obscene,  லுச்சா, 
profigate,  லுச்சா, 
a simile,  லுப்தோபமை, 
mischievi,  லூட்டி, 
act of nuis,  லூட்டி, 
loot,  சூறையாடு/ கொள்ளை/ கொள்ளையடி// சூறை, லூட்டி// சூறையாடுதல்/ கொள்ளையடித்த பொருள், 
trouble annoyance,  லூட்டி, 
in illustration of the principle of an author destroying his own creation even as a spider eats up the thread which it throws out,  லூதாதந்து நியாயம், 
priest in a mosque,  லெவை, 
pen style,  லேகனி, 
ball of ganja,  லேகாவுண்டை, 
semi liqui,  லேகியம், 
food that is eaten by licking,  லேகியம், 
in medicine,  லேகியம், 
a measure of time equal to two kalai,  லேசம், 
small bit particle,  லேசம், 
light in w,  லேசு, 
easy in m,  லேசு, 
light force,  லேசு, 
silver or gold lace,  லேசு, 
erectio penis,  லேபனம், 
erection of penis,  லேபனம், 
money le,  லேவாதேவி, 
signifying physical exhaustion,  லொங்குலொங்கெனல், 
almost nothing,  லொசுக்கு, 
small earthen pot for drawing toddy,  லொட்டி, 
stray articles,  லொட்டுலொசுகு, 
anything inferior,  லொட்டை, 
a game of marbles,  லொட்டையாட்டம், 
anything rickety,  லொடலொட்டை, 
antything hollow or empty,  லொடலொட்டை, 
anything hollow or empty,  லொடலொட்டை, 
ratting or rumbling,  லொடலொடவெனல், 
ricketiness,  உறுதியின்மை, லொடலொடவெனல், 
want of solidity,  லொடுக்கு, 
signifying shakiness,  லொடுக்கு லொடுக்கெனல், 
as of a running carriage,  லொடுக்கு லொடுக்கெனல், 
bark of lodhra tree,  லொத்துகத்தோல், 
beating hard giving repeated blows,  லொத்து லொத்தெனல், 
hollow sound,  லொத்து லொத்தெனல், 
onom expr of dogs bark,  லொள்ளெனல், 
very troublesome or wicked man,  லோககண்டகன், 
as a thorn afflicting the world,  லோககண்டகன், 
travelling in different countries of the world,  லோகசஞ்சாரம், 
business outside ones house,  லோகசஞ்சாரம், 
outwork,  லோகசஞ்சாரம், புறப்பணி, 
traveling in different countries of the world,  லோகசஞ்சாரம், 
traveller in many lands,  லோகசஞ்சாரி, 
as the universal witness,  லோகசாட்சி, 
hydrated peroxide of iron,  லோகசிந்தூரம், 
ferrugo,  லோகசிந்தூரம், 
hydrated peroxide of iron-ferrugo,  லோகசிந்தூரம், 
that which is universally known,  லோகப்பிரசித்தம், 
regents of the eight directions,  லோகபாலர், 
that which is popular or pleasing to the world,  லோகரஞ்சனம், 
protection of the world,  லோகரட்சை, 
saviour of the world,  லோகரட்சகன், 
that which is famous throughout the land,  லோகரூடம், 
a superior class of celestials,  லோகாக்கிரசித்தர், 
customs of the people,  லோகாசாரம், 
ways of the world,  லோகாசாரம், லௌகிகதருமம், 
common practice,  லோகாசாரம், 
the ultramundane,  லோகாதீதம், 
the ultra-mundane,  லோகாதீதம், 
the world beyond,  லோகாந்தரம், 
censure of the world,  லோகாபவாதம், 
public scandal,  லோகாபவாதம், 
that which is pleasing to the world,  லோகாபிராமம், 
that which is excellent in every way,  லோகோத்தரம், 
general good,  லோகோபகாரம், 
tumbler made of metal,  லோட்டா, 
pipkin,  மண் குழிசி, லோட்டா// சிறுமட்கலம், 
a small metal pot,  லோட்டா, 
generally of brass,  லோட்டா, 
colloq a necklace of gold beads,  லோட்டா, 
a necklace of gold beads,  லோட்டா, 
hindi lut loss,  லோடு, 
lodhra tree,  லோத்திரம், 
a kind of iron,  லோம்பர், 
one who is sportive or playful,  லோலன், 
one who dallies with women,  லோலன், 
one who dallies with woman,  லோலன், 
a pendant suspended from the lobe of the ear,  லோலாக்கு, 
skil or tact in worldly affairs,  லெளகிகதந்திரம், 
usage in common speech,  லெளகிகப்பிரக்கிரியை, 
wordly affairs,  லெளகீகம், 
that which is of the world,  லெளகீகம், 
secular pursuits,  லெளகீகவிருத்தி, 
opp to virutti,  லெளகீகவிருத்தி, 
one who is worldly minded,  லெளகீகன், 
one who does not strictly adhere to the prescribed rites and observances,  லெளகீகன், 
one who follows secular pursuits,  லெளகீகன், 
one who is worldly wise,  லெளகீகன், 
power of attorney given to an advocate by a party to a suit,  வக்காலத்து, 
power of attorney given to a lawyer for conducting a case,  வக்காலத்து, 
authorized attorney,  வக்கீல், 
counsel at law,  வக்கீல், 
one who represents the bride in a contract of marriage,  வக்கீல், 
one who speaks or expounds,  வக்தா, 
season opportunity,  வக்து, 
a treatise on poetics,  வச்சணந்திமாலை, 
by guna virapantitar,  வச்சணந்திமாலை, 
named after his preceptor vaccananti,  வச்சணந்திமாலை, 
named after his preceptor,  வச்சணந்திமாலை, 
a poem of venpa verses on the king of vatsa,  வச்சத்தொள்ளாயிரம், 
an ancient province in north india,  வச்சம், 
black stag,  வச்சயம், 
strong build,  வச்சிரக்கட்டு, 
an ancient temples at,  வச்சிரக்கோட்டம், 
where indras thunderbolt was installed,  வச்சிரக்கோட்டம், 
a cloak of great durability,  வச்சிரகங்கடம், 
a cloth of great durability,  வச்சிரகங்கடம், 
as armed with the thunderbolt,  வச்சிரப்படையோன், 
a weapon sharp edged at both ends and held in the middle,  வச்சிரம், 
that which is exceedingly strong,  வச்சிரம், 
hard or adamant,  வச்சிரம், 
as very hard,  வச்சிரம், 
cf vajra dru square spurge,  வச்சிரம், 
a weapon used by boxers,  வச்சிரம், 
a weapon sharp-edged at both ends and held in the middle,  வச்சிரம், 
that which is excedingly strong,  வச்சிரம், 
squre sparge,  வச்சிரம், 
gluing,  வச்சிரயாப்பு, 
in woodwork,  வச்சிரயாப்பு, 
indelible writing,  வச்சிரயாப்பு, 
as the marks made by the vaccirayutam,  வச்சிரயாப்பு, 
as the marks made by the,  வச்சிரயாப்பு, 
cross multiplication,  குறுக்குப்பெருக்கல்/ குறுக்குப் பெருக்கல்/ குறுக்கு பெருக்கல்/ வச்சிராப்பியாசம், 
the th titi of the bright fortnight in the lunar month of makam,  வசந்தபஞ்சமி, 
as sacred to kama,  வசந்தபஞ்சமி, 
joyous pe,  வசந்தம், 
the spring season,  வசந்தம், 
the month of cittirai,  வசந்தம், 
fragarance,  வசந்தம், 
small pearl,  வசந்தம், 
indras palace,  வசந்தம், 
scent fragrance,  வசந்தம், 
an antati verse describing the south win one of pirapantam,  வசந்தமாலை, 
an verse describing the south-wind one of pirapantam,  வசந்தமாலை, 
vasanta,  வசந்தன், 
the god of spring and friend of kama,  வசந்தன், 
vasanta the god of spring and friend of,  வசந்தன், 
the south-wind,  வசந்தன், 
a strong poison said to be prepared from vacampu or according to some,  வசநாபி, 
from tani root,  வசநாபி, 
a strong poison said to be prepared from vasampu or according to some,  வசநாபி, 
from root,  வசநாபி, 
hypnotic power,  வசீகரசக்தி, 
the arrow of kama that subjugates a person,  வசீகரணம், 
art of subjugation by magic,  வசீகரணம், 
the arrow of that subjugation a person,  வசீகரணம், 
art of subjugation by magic one of kalai,  வசீகரணம், 
one who fascinates and charms,  வசீகரன், 
collections,  திரட்டுகள்/ வசூல், தண்டல்கள், தொகுப்பு, 
uncollected balance,  வசூல்பாக்கி, 
imeage,  வமிசம், 
flute pipe,  வமிசம், 
age period of lifetime from birth,  வயசு, 
period of lifetime from birth,  வயசு, 
yourth,  வயசு, 
beginning or commencement of a new year,  வருடப்பிறப்பு, 
new year day,  வருடப்பிறப்பு, 
the predictions for the year calculated from the position of the planets at the commencement of the new year,  வருடபலன், 
grotto about a town,  வனம், 
dwelling or residing in a forest,  வனவாசம், 
clause or sentence of literary finish,  வாக்கியக்கட்டளை, 
proposition containing the subject,  வாக்கியம், 
object and predicate,  வாக்கியம், 
mode of reckoning followed in southern india,  வாக்கியம், 
as distringuished from that followed in the surya siddhanta,  வாக்கியம், 
astronomical table,  வாக்கியம், 
authoritative quotation,  வாக்கியம், 
meaning of a passage,  வாக்கியார்த்தம், 
argumentative exposition of a text,  வாக்கியார்த்தம், 
voting right,  ஒப்போலையுரிமை/ வாக்கு செலுத்தும் உரிமை/ வாக்குரிமை, 
suffrage,  ஒப்போலையுரிமை/ வயது வந்தோர் வாக்குரிமை/ வாக்குரிமை/ வாக்குரிமைச் சீட்டு, 
right of voting,  வாக்குரிமை, 
a mount o,  வாகனம், 
animal to ride on,  வாகனம், 
as horse,  வாகனம், 
wgon,  வாகனம், 
used in packing,  வாகனம், 
worn on the head,  வாசிகை, 
garland of flowers strung thickly together,  வாசிகை, 
residential quarters of vaisyas,  வாசிகை, 
garland of flower strung thickly together,  வாசிகை, 
a sanskrit text book on hindu law ascribed to vasistha,  வாசிட்டம், 
a tamil translation of yga vasistha,  வாசிட்டம், 
a sanskrit text book on hindu law ascribed to,  வாசிட்டம், 
one of tarama,  வாசிட்டம், 
oneof upa qv,  வாசிட்டலைங்கம், 
rheumatic affection,  வாதப்பிடிப்பு, 
contraction due to rheumatism,  வாதப்பிடிப்பு, 
badami,  வாதாவி, 
the capital of the western calukyas,  வாதாவி, 
affict,  வாதி, 
to argue,  வாதி, 
one who advocates,  வாதி, 
debater,  வாதி, எடுத்துரைப்போர், 
opp to pirati vati,  வாதி, 
scholar who by adducing reasons and quoting authorities confutes the statements of his opponent and establishes his own,  வாதி, 
opp to pirati,  வாதி, 
almond the tree,  வாதுமை, 
common almond,  வாதுமை, 
prunus amygdalus,  கற்பழக்காழ் மரம்/ வாதுமை, 
indian almond tr,  வாதுமை, 
termin-alia ctappa,  வாதுமை, 
painful disease,  வாதை, பீதி, 
regurgitation,  எதுக்களித்தல், ஓக்களிப்பு, புரையேறுதல்: மறிவுக் குருதிச் சுற்றோட்டம், எதிர் - கழித்தல்: மீளோட்டம், எதிரளிப்பு/ வாந்தி, எதிர்க்களித்தல், 
emetic,  வாந்தி மருந்து, உமட்டலுக்குக் காரணமான/ வாந்தி/ வாந்தித்தூண்டி/ வாந்தி ஊக்கி/ வாந்தி ஊக்கும், உமட்டல் தூண்டி, 
ejecting from the mouth,  வாந்தி, 
as attended with vomiting and purging,  வாந்திபேதி, 
tartar emetic,  வாந்தியுப்பு, 
potassio tartras,  வாந்தியுப்பு, 
unrighteousness,  வாமம், 
a saiva sect which declares that the whole universe is a manifestation of sakti,  வாமம், 
and that salvation consists in absorption in her,  வாமம், 
one of six aka p pua c camayam,  வாமம், 
boundary stone of lands granted for religious purposes,  வாமனக்கல், 
as carved with the figure of vamana,  வாமனக்கல், 
boundary stone of lands granted for religious purpose,  வாமனக்கல், 
as carved with the figure of,  வாமனக்கல், 
visnu in his dwarf incarnation,  வாமனன், 
tirumal his dwarf incarnation,  வாமனன், 
wind gen,  வாயு, 
wind as nerve force,  வாயு, 
