outskirts of a town,  புறம்படி// சரிவு, 
riverside,  ஆற்றோரம்// சரிவு, 
decivity,  சரிவு, 
a kind of bracelet worn by women on the fore-arms,  சரிவு, 
e slow,  சரிவு, 
oblation of rice,  சரு, 
barley or pulse,  சரு, 
boiled with butter and milk,  சரு, 
offered to gods or manes,  சரு, 
chapter or section of a literary work,  சருக்கம், 
a necklace with wheel-shaped golden ringlets,  சருக்கரச்சரம், 
a hell paved with pointed stones of sugar loaf shape,  சருக்கராப்பிரபை, 
a hell paved with pointed stones of sugar-loaf shape,  சருக்கராப்பிரபை, 
one of eluna ragam,  சருக்கராப்பிரபை, 
kinds of sweet crystalline substance prepared from various plants esp the sugarcane,  சருக்கரை, 
and beetroot for use to cookery,  சருக்கரை, 
confectionary,  சருக்கரை, தின்பண்டத் தொழில், 
brewing,  தேறல் வடித்தல், புளிப்பேறல், புளிக்கவைத்தல்// சருக்கரை; நொதித்தல், 
country sugar or brown sugar,  சருக்கரை, 
bane sugar,  சருக்கரை, 
candy sugar,  சருக்கரை, 
unrefined moist sugar,  சருக்கரை, 
white refined sugar,  சருக்கரை, 
china sugar,  சருக்கரை, 
crystallised sugar,  சருக்கரை, படிகச் சர்க்கரை, 
bitter salt extracted from moon-creeper,  சருக்கரை, 
sugar from beet root,  சருக்கரை, 
sugar from sugar cane,  சருக்கரை, 
sugar from fruits,  சருக்கரை, 
jaggary lump ball of sugar,  சருக்கரைக்கட்டி, 
an instrument like masons trowel used to spread molasses into jaggery moulding,  சருக்கரைக்கத்தி, 
a variety of plantain tree,  சருக்கரைக்கதளி; நண்டுக்கழை, 
ladle used to put molasses into jaggery moulding,  சருக்கரைக்கரண்டி, 
ground sugar-root merma arenario,  சருக்கரைக்கிழங்கு, 
metalic spike to top bales and test the contents,  சருக்கரைக்குத்தி, 
musk melon citrullus vulgaris,  சருக்கரைக்கொம்மட்டி, 
sathghur orange citrus aurantium,  சருக்கரைக்கொழுமிச்சை, 
the iron streap around a wheel,  சருக்கரைப்பட்டை, 
the inspisated liquid jaggery,  சருக்கரைப்பாகு, 
clay rock,  சருக்கரைப்பாறை, 
tobacco seasoned with jaggery syrup as spices,  சருக்கரைப்புகையிலை, 
sweet tamarind,  நரைமீறி, திந்திடம்// சருக்கரைப்புளி; நவதாளகம், 
sweet babool pitheeolobium dulce,  சருக்கரைப்புளி, 
assyrian plum cordia myxa,  சருக்கரைப்பூசியம், 
squash gourd cucurbita maxima,  சருக்கரைப்பூசணி, 
a kind of pear,  சருக்கரைப்பேரி// சர்க்கரைபேரி, 
a danly preparation of boiled rice mixed with jaggery,  சருக்கரைப்பொங்கல், 
dried grapes,  சருக்கரைப்பொங்கல், 
sweet myrthbalamo dendron myrrha,  சருக்கரைப்போளம், 
a variety of mango tree yielding fruits as sweet as palmgur,  சருக்கரைமா, 
sweet lime citrus medica lumia,  சருக்கரையெலுமிச்சை, 
wild-cane sacharum arundinaceum,  சருக்கரைவருணி, 
wood apple feronia elephantum,  சருக்கரைவாலிகம், 
a kind of neem,  சருக்கரைவேம்பு, தித்திக்கும்வேம்பு, 
a kind of neem tree melia azadirachta,  சருக்கரைவேம்பு, 
building with verandah,  சருக்கால்வேலை, 
a variety of hop scotch,  சருக்கி, 
a variety of hop-scotch,  சருக்கி, 
the village where,  சருக்கிருந்தஊர், 
lived,  வெண்ணெய்நல்லூர்// சருக்கிருந்தஊர், 
village where,  சருக்கிருந்தஊர், 
lived away from,  சருக்கிருந்தஊர், 
wooden brake,  சருக்குக்கட்டை, 
onom expr signifying quickness,  சட்டெனல்// சருக்கெனல்// சுறுக்கெனல், பொட்டெனல், 
millipede loc,  சருகட்டை, 
millipede i,  சருகட்டை, 
a disease affecting cows,  சருகம், 
black land turtle,  சருகாமை, 
black land-turtle,  சருகாமை, 
dry leaf,  சருகு, ஞெமல், 
wilted be,  சருகு, 
dried leaf,  சருகு, 
a light coat of mail,  சருகுசன்னாயம், 
wood tick,  சருகுண்ணி: மரஉண்ணி, 
thin leaf of brass,  சருகுபித்தளை, 
a small panther,  சருகுபுலி, 
dried tamarind fruit,  சருகுபுளி, 
a kind of rabbit living on dried leaves,  சருகுமுயல், 
a kind of rabit living on dried leaves,  சருகுமுயல், 
comparatively heavy rain which drives dried leaves,  சருகுருட்டிமழை, 
away by it stream,  சருகுருட்டிமழை, 
streamer or flag of a car,  சருத்தி, 
distinguishing banner,  சருத்தி, 
streamer or flag of a war,  சருத்தி, 
margosa tree-azadirachta indica,  சருதோபத்திரி, 
the stem of sacred grass-agrostu linearis,  சருபம், 
shallow wide mouthed brass vessel,  சருவச்சட்டி, 
helmet,  தலையணி// சிரகம், தலைக்காப்பணி, தலைக் கவிப்பு// சீரா, தலைக்கவசம்// சருவந்து, தலை காப்பணி, 
helmct,  சருவந்து, 
vessel made of bronze copper aluminium etc with a wide mouth and a tapering bottom,  சருவப்பானை, 
shallow wide mouthed vessel,  சருவம், 
shallow wide-mouthed vessel,  சருவம், 
sloping,  சருவல், பொறிவு, 
inclinning,  சருவல், 
friendly intercourse,  சருவல், 
amorous caressing,  சரசலீலை// சருவல், 
sloping inclining,  சருவல், 
friendly,  சருவல், பயனர் தோழமை, 
to become familiar,  சருவு, 
to carees amorously,  சருவு, 
to do mischief,  வாலாட்டு// சருவு, 
steep side of a rock,  சருவு, 
to caress amorously,  சருவு, 
promptitude,  ஆயத்தம்/ விரைவு, உற்சாகம்// சரூர்// செயற்படத் தயாரான தன்மை/ காலத்திற் கருத்துடைமை, 
expr of suddenness,  நெருக்கெனல்// சரேரெனல்; நெரேலெனல், 
onom expr of suddenness,  சரேரெனல், பொதுக்கெனல், பொற்கெனல், 
decrepitude,  தளர்ச்சி: மூப்புத் தளர்ச்சி: முதுமைத் தளர்ச்சி// சரை, 
cover made of dried plantain leaves,  சரை, 
straw or ola,  வெற்றிலைத்தட்டி// சரை, 
straw or la,  சரை, 
pain in the body due to cold,  சல்லக்கடுப்பு, 
small bat fish,  சல்லக்குட்டி// சல்லைக்குட்டி, 
large cymbal,  சல்லகம்// சல்லரி, 
gum of wood apple tree,  உபலோத்திரம்// சல்லகு, 
tamis,  சல்லடை, 
strainer,  வடிப்பு ஊடகம்// சல்லடம்// சல்லடை// சல்லடை வடிதட்டு, திரிப்பி/ வடிகட்டி, 
cribriform,  சல்லடை // சல்லடை வடிவ, 
fine sieve to sift flour grains etc,  சல்லடை, 
large sieve for litting sand,  சல்லடைக்கட்டில், 
holes of a sieve,  சல்லடைக்கண், 
hole of sieve,  சல்லடைக்கண், 
coarse grit,  சல்லடைக்கழிவு/ கரட்டுப் பொடியல், 
womans jewel for the helix,  சல்லடைக்கொப்பு, 
a kind of ear ornament for women,  சல்லடைமுருகு, 
porcupine quill,  சலலம்// சலம்// சல்லம், 
apium gravcolens,  சல்லரி, 
a smalbat fish,  சல்லவௌவால், 
fine textured transparent cloth,  சல்லா, 
thin mull of loose texture,  சல்லா, 
cabage,  சல்லாத்துக்கீரை, 
garden lettuce lactuca scariola,  சல்லத்துக்கீரை, 
wild endive chieorium endivia,  சல்லத்துக்கீரை, 
curled endive chicorium intybus,  சல்லத்துக்கீரை, 
a ring of salt,  சல்லாபவுப்பு, 
cloth of loose texture,  சல்லாரி, 
a person with clownish dress,  சல்லாரி, 
hartwigia,  சல்லாரி, 
harwigia,  சல்லாரி, 
coloured strips of cloth hanging from buffoons dress,  சல்லாலி, 
a kind of drum see,  சல்லி, 
small pieces of stone or glass,  சல்லி, 
small chips,  சல்லி, 
as of stone,  சில்லு// சல்லி, 
rubblle,  சல்லி, 
small flat shells,  சல்லி, 
used for lime,  சல்லி, 
small copper coin,  சல்லி, 
fractional part of a large coin,  சல்லி, 
anna,  சல்லி, 
a thin,  சல்லி, அசுண்டவாயு, 
colloq falsehood,  சல்லி, 
moulding work,  சல்லி, 
a small pieces of stone or glass,  சல்லி, 
small flat shells used for lime,  சல்லி, 
fractional part of a larger coin,  சல்லி, 
l anna,  சல்லி, 
short pendant in ornaments,  சல்லி, 
a thin emaciated person,  சல்லி, 
a trifler,  சல்லி, 
black guard,  சல்லி, 
a musical instrument used calligaidance,  சல்லி, 
bull baiting festival in which the competitors capture fierce bulls let loose on the occasion,  சல்லிக்கட்டு, 
a thin variety of coir thread,  சல்லிக்கயிறு, 
a broad perforated ladle,  சல்லிக்கரண்டி, 
eyes golden,  சல்லிக்கெண்டை, 
weighing lbs,  சல்லிக்கெண்டை, 
barbus carnaticus,  சேற்கெண்டை// சாளைக்கெண்டை// சல்லிக்கெண்டை, 
weighing lbs barbus carnaticus,  சல்லிக்கெண்டை, 
easy,  கவலையற்ற, எளிதகு பணம், எளிதான// சல்லிசு, தளர்வு விலை, 
dcad chcap,  சல்லிசு, 
rough stony ground,  சல்லித்தரை, 
floor treated with concrete,  சல்லித்தரை, 
gravel ground,  சல்லித்தரை, 
water bed where conch yields are more,  சல்லிநிலம், 
head board,  சல்லிப்பலகை, 
seabed where gravels are more,  சல்லிப்பாட்டுமடை, 
a kind of mat made of grass,  சல்லிப்பாய், 
broken shell,  சல்லிப்பொடி, 
little fish,  சல்லிப்பொடி, 
a great liar,  சல்லிப்பொதி, 
as a bag of lies,  சல்லிப்பொதி, 
bull trained for bull baiting,  சல்லிமாடு, 
bull trained for bull-baiting,  சல்லிமாடு, 
decorative wreath for cattle at pokal and on occasions like calli k kattu,  சல்லிமாலை, 
decorative wreath for cattle at pongal and on occasions like salli-k-katu,  சல்லிமாலை, 
thatching roof with straws or braided coconut leaves,  சல்லிமேய்ச்சல், 
a drug used in black magic,  சல்லியக்கரு, 
medicament which heals wounds caused by weapons,  சல்லியகரணி/ விசல்லியகரணி, 
madar see,  சல்லியகரணி, 
common enaetic nut-randia dumetorum,  சல்லியசயம், 
nali,  சல்லியம், 
sharp point or head of a wealpn,  சல்லியம், 
trouble mischief,  சல்லியம், 
atr of divining things underground,  சல்லியம், 
magical enchantment for warding off missile weapons,  சல்லியம், 
a treatise on magic,  சல்லியம், 
sharp point or head of a weapon,  சல்லியம், 
spear javelin,  சல்லியம், 
